question_type,service_level,channel_bin,view_quality_bin,freshness_bin,risk_level,expected_accuracy,payload_bytes,sample_count,std_or_ci
attribute,0,bad,good,expired,normal,0.295992,10000.0,5,0.005656
attribute,0,bad,good,fresh,normal,0.546897,10000.0,5,0.007356
attribute,0,bad,good,stale,normal,0.432111,10000.0,5,0.0075
attribute,0,bad,medium,expired,normal,0.278166,10000.0,5,0.003247
attribute,0,bad,medium,fresh,normal,0.533305,10000.0,5,0.009992
attribute,0,bad,medium,stale,normal,0.416594,10000.0,5,0.00648
attribute,0,bad,poor,expired,normal,0.253969,10000.0,5,0.003927
attribute,0,bad,poor,fresh,normal,0.511239,10000.0,5,0.005898
attribute,0,bad,poor,stale,normal,0.398867,10000.0,5,0.003816
attribute,0,good,good,expired,normal,0.295603,10000.0,5,0.004743
attribute,0,good,good,fresh,normal,0.546843,10000.0,5,0.011782
attribute,0,good,good,stale,normal,0.43995,10000.0,5,0.006477
attribute,0,good,medium,expired,normal,0.283982,10000.0,5,0.004509
attribute,0,good,medium,fresh,normal,0.530265,10000.0,5,0.007559
attribute,0,good,medium,stale,normal,0.424004,10000.0,5,0.004062
attribute,0,good,poor,expired,normal,0.262413,10000.0,5,0.003398
attribute,0,good,poor,fresh,normal,0.510025,10000.0,5,0.01078
attribute,0,good,poor,stale,normal,0.404179,10000.0,5,0.00589
attribute,0,medium,good,expired,normal,0.293792,10000.0,5,0.006013
attribute,0,medium,good,fresh,normal,0.553743,10000.0,5,0.010177
attribute,0,medium,good,stale,normal,0.430932,10000.0,5,0.003919
attribute,0,medium,medium,expired,normal,0.284133,10000.0,5,0.004238
attribute,0,medium,medium,fresh,normal,0.541665,10000.0,5,0.008975
attribute,0,medium,medium,stale,normal,0.425039,10000.0,5,0.007147
attribute,0,medium,poor,expired,normal,0.256777,10000.0,5,0.005154
attribute,0,medium,poor,fresh,normal,0.517134,10000.0,5,0.006798
attribute,0,medium,poor,stale,normal,0.400418,10000.0,5,0.008353
attribute,1,bad,good,expired,normal,0.369079,180000.0,5,0.006712
attribute,1,bad,good,fresh,normal,0.457036,180000.0,5,0.002973
attribute,1,bad,good,stale,normal,0.418438,180000.0,5,0.008999
attribute,1,bad,medium,expired,normal,0.301179,180000.0,5,0.004968
attribute,1,bad,medium,fresh,normal,0.371357,180000.0,5,0.005781
attribute,1,bad,medium,stale,normal,0.346968,180000.0,5,0.002183
attribute,1,bad,poor,expired,normal,0.197903,180000.0,5,0.00294
attribute,1,bad,poor,fresh,normal,0.251134,180000.0,5,0.00467
attribute,1,bad,poor,stale,normal,0.232409,180000.0,5,0.004298
attribute,1,good,good,expired,normal,0.547672,180000.0,5,0.011854
attribute,1,good,good,fresh,normal,0.682978,180000.0,5,0.008198
attribute,1,good,good,stale,normal,0.632313,180000.0,5,0.012703
attribute,1,good,medium,expired,normal,0.445892,180000.0,5,0.006366
attribute,1,good,medium,fresh,normal,0.555763,180000.0,5,0.0077
attribute,1,good,medium,stale,normal,0.514297,180000.0,5,0.009749
attribute,1,good,poor,expired,normal,0.288746,180000.0,5,0.00497
attribute,1,good,poor,fresh,normal,0.365291,180000.0,5,0.004512
attribute,1,good,poor,stale,normal,0.334615,180000.0,5,0.007037
attribute,1,medium,good,expired,normal,0.486662,180000.0,5,0.008922
attribute,1,medium,good,fresh,normal,0.595726,180000.0,5,0.013672
attribute,1,medium,good,stale,normal,0.556202,180000.0,5,0.005745
attribute,1,medium,medium,expired,normal,0.390916,180000.0,5,0.001804
attribute,1,medium,medium,fresh,normal,0.497294,180000.0,5,0.008108
attribute,1,medium,medium,stale,normal,0.446206,180000.0,5,0.004493
attribute,1,medium,poor,expired,normal,0.256823,180000.0,5,0.003823
attribute,1,medium,poor,fresh,normal,0.32872,180000.0,5,0.005047
attribute,1,medium,poor,stale,normal,0.29886,180000.0,5,0.004332
attribute,2,bad,good,expired,normal,0.57023,1600000.0,5,0.010359
attribute,2,bad,good,fresh,normal,0.567739,1600000.0,5,0.007104
attribute,2,bad,good,stale,normal,0.571304,1600000.0,5,0.006447
attribute,2,bad,medium,expired,normal,0.465437,1600000.0,5,0.005637
attribute,2,bad,medium,fresh,normal,0.470838,1600000.0,5,0.008275
attribute,2,bad,medium,stale,normal,0.463277,1600000.0,5,0.006521
attribute,2,bad,poor,expired,normal,0.330343,1600000.0,5,0.00417
attribute,2,bad,poor,fresh,normal,0.33779,1600000.0,5,0.007067
attribute,2,bad,poor,stale,normal,0.338268,1600000.0,5,0.005622
attribute,2,good,good,expired,normal,0.778442,1600000.0,5,0.01612
attribute,2,good,good,fresh,normal,0.798515,1600000.0,5,0.009507
attribute,2,good,good,stale,normal,0.792938,1600000.0,5,0.012192
attribute,2,good,medium,expired,normal,0.662133,1600000.0,5,0.014747
attribute,2,good,medium,fresh,normal,0.659964,1600000.0,5,0.007186
attribute,2,good,medium,stale,normal,0.65745,1600000.0,5,0.013879
attribute,2,good,poor,expired,normal,0.471762,1600000.0,5,0.005671
attribute,2,good,poor,fresh,normal,0.466448,1600000.0,5,0.011946
attribute,2,good,poor,stale,normal,0.470071,1600000.0,5,0.006138
attribute,2,medium,good,expired,normal,0.715461,1600000.0,5,0.009968
attribute,2,medium,good,fresh,normal,0.703379,1600000.0,5,0.011317
attribute,2,medium,good,stale,normal,0.697578,1600000.0,5,0.010192
attribute,2,medium,medium,expired,normal,0.584057,1600000.0,5,0.011848
attribute,2,medium,medium,fresh,normal,0.580046,1600000.0,5,0.01008
attribute,2,medium,medium,stale,normal,0.581998,1600000.0,5,0.010233
attribute,2,medium,poor,expired,normal,0.414805,1600000.0,5,0.007765
attribute,2,medium,poor,fresh,normal,0.416868,1600000.0,5,0.002322
attribute,2,medium,poor,stale,normal,0.414394,1600000.0,5,0.006189
attribute,3,bad,good,expired,normal,0.531347,550000.0,5,0.007687
attribute,3,bad,good,fresh,normal,0.551616,550000.0,5,0.005417
attribute,3,bad,good,stale,normal,0.537677,550000.0,5,0.010708
attribute,3,bad,medium,expired,normal,0.435285,550000.0,5,0.006956
attribute,3,bad,medium,fresh,normal,0.441594,550000.0,5,0.009188
attribute,3,bad,medium,stale,normal,0.443095,550000.0,5,0.00845
attribute,3,bad,poor,expired,normal,0.314011,550000.0,5,0.00437
attribute,3,bad,poor,fresh,normal,0.313767,550000.0,5,0.005959
attribute,3,bad,poor,stale,normal,0.312442,550000.0,5,0.004208
attribute,3,good,good,expired,normal,0.760194,550000.0,5,0.013076
attribute,3,good,good,fresh,normal,0.752998,550000.0,5,0.013176
attribute,3,good,good,stale,normal,0.757317,550000.0,5,0.014179
attribute,3,good,medium,expired,normal,0.621359,550000.0,5,0.012932
attribute,3,good,medium,fresh,normal,0.634966,550000.0,5,0.007251
attribute,3,good,medium,stale,normal,0.619826,550000.0,5,0.005489
attribute,3,good,poor,expired,normal,0.442851,550000.0,5,0.00474
attribute,3,good,poor,fresh,normal,0.449837,550000.0,5,0.002434
attribute,3,good,poor,stale,normal,0.438728,550000.0,5,0.008301
attribute,3,medium,good,expired,normal,0.665818,550000.0,5,0.008689
attribute,3,medium,good,fresh,normal,0.678082,550000.0,5,0.011005
attribute,3,medium,good,stale,normal,0.666014,550000.0,5,0.012914
attribute,3,medium,medium,expired,normal,0.551926,550000.0,5,0.007056
attribute,3,medium,medium,fresh,normal,0.548285,550000.0,5,0.007492
attribute,3,medium,medium,stale,normal,0.550855,550000.0,5,0.009052
attribute,3,medium,poor,expired,normal,0.394413,550000.0,5,0.007028
attribute,3,medium,poor,fresh,normal,0.381445,550000.0,5,0.002859
attribute,3,medium,poor,stale,normal,0.394114,550000.0,5,0.003761
counting,0,bad,good,expired,normal,0.320395,10000.0,5,0.003982
counting,0,bad,good,fresh,normal,0.576327,10000.0,5,0.009944
counting,0,bad,good,stale,normal,0.4633,10000.0,5,0.006366
counting,0,bad,medium,expired,normal,0.299358,10000.0,5,0.005649
counting,0,bad,medium,fresh,normal,0.568615,10000.0,5,0.011997
counting,0,bad,medium,stale,normal,0.448733,10000.0,5,0.00574
counting,0,bad,poor,expired,normal,0.278882,10000.0,5,0.004958
counting,0,bad,poor,fresh,normal,0.548944,10000.0,5,0.012007
counting,0,bad,poor,stale,normal,0.421287,10000.0,5,0.003842
counting,0,good,good,expired,normal,0.323308,10000.0,5,0.007205
counting,0,good,good,fresh,normal,0.599244,10000.0,5,0.011278
counting,0,good,good,stale,normal,0.474436,10000.0,5,0.006641
counting,0,good,medium,expired,normal,0.301293,10000.0,5,0.004392
counting,0,good,medium,fresh,normal,0.573257,10000.0,5,0.008299
counting,0,good,medium,stale,normal,0.455868,10000.0,5,0.007942
counting,0,good,poor,expired,normal,0.278106,10000.0,5,0.004263
counting,0,good,poor,fresh,normal,0.555862,10000.0,5,0.008616
counting,0,good,poor,stale,normal,0.430925,10000.0,5,0.007508
counting,0,medium,good,expired,normal,0.320893,10000.0,5,0.005329
counting,0,medium,good,fresh,normal,0.594929,10000.0,5,0.011339
counting,0,medium,good,stale,normal,0.471598,10000.0,5,0.006751
counting,0,medium,medium,expired,normal,0.304127,10000.0,5,0.005328
counting,0,medium,medium,fresh,normal,0.579124,10000.0,5,0.009775
counting,0,medium,medium,stale,normal,0.456014,10000.0,5,0.005533
counting,0,medium,poor,expired,normal,0.277914,10000.0,5,0.003314
counting,0,medium,poor,fresh,normal,0.54339,10000.0,5,0.011803
counting,0,medium,poor,stale,normal,0.432541,10000.0,5,0.007136
counting,1,bad,good,expired,normal,0.409175,180000.0,5,0.008757
counting,1,bad,good,fresh,normal,0.501779,180000.0,5,0.006606
counting,1,bad,good,stale,normal,0.478217,180000.0,5,0.00644
counting,1,bad,medium,expired,normal,0.318402,180000.0,5,0.004151
counting,1,bad,medium,fresh,normal,0.400884,180000.0,5,0.007427
counting,1,bad,medium,stale,normal,0.370783,180000.0,5,0.007767
counting,1,bad,poor,expired,normal,0.212768,180000.0,5,0.004055
counting,1,bad,poor,fresh,normal,0.27438,180000.0,5,0.001632
counting,1,bad,poor,stale,normal,0.251001,180000.0,5,0.004034
counting,1,good,good,expired,normal,0.620672,180000.0,5,0.011297
counting,1,good,good,fresh,normal,0.777723,180000.0,5,0.013801
counting,1,good,good,stale,normal,0.714716,180000.0,5,0.008879
counting,1,good,medium,expired,normal,0.504433,180000.0,5,0.011744
counting,1,good,medium,fresh,normal,0.631825,180000.0,5,0.013238
counting,1,good,medium,stale,normal,0.581449,180000.0,5,0.010642
counting,1,good,poor,expired,normal,0.319796,180000.0,5,0.002912
counting,1,good,poor,fresh,normal,0.399924,180000.0,5,0.004728
counting,1,good,poor,stale,normal,0.361662,180000.0,5,0.007798
counting,1,medium,good,expired,normal,0.540704,180000.0,5,0.006991
counting,1,medium,good,fresh,normal,0.681904,180000.0,5,0.012172
counting,1,medium,good,stale,normal,0.627694,180000.0,5,0.00609
counting,1,medium,medium,expired,normal,0.436997,180000.0,5,0.006355
counting,1,medium,medium,fresh,normal,0.552071,180000.0,5,0.007767
counting,1,medium,medium,stale,normal,0.515592,180000.0,5,0.010197
counting,1,medium,poor,expired,normal,0.277089,180000.0,5,0.002584
counting,1,medium,poor,fresh,normal,0.348362,180000.0,5,0.005374
counting,1,medium,poor,stale,normal,0.317047,180000.0,5,0.00262
counting,2,bad,good,expired,normal,0.603559,1600000.0,5,0.00862
counting,2,bad,good,fresh,normal,0.613894,1600000.0,5,0.010316
counting,2,bad,good,stale,normal,0.612304,1600000.0,5,0.004233
counting,2,bad,medium,expired,normal,0.507093,1600000.0,5,0.009486
counting,2,bad,medium,fresh,normal,0.502019,1600000.0,5,0.004761
counting,2,bad,medium,stale,normal,0.504987,1600000.0,5,0.007957
counting,2,bad,poor,expired,normal,0.359395,1600000.0,5,0.005539
counting,2,bad,poor,fresh,normal,0.355727,1600000.0,5,0.00704
counting,2,bad,poor,stale,normal,0.35638,1600000.0,5,0.00535
counting,2,good,good,expired,normal,0.845527,1600000.0,5,0.013793
counting,2,good,good,fresh,normal,0.849162,1600000.0,5,0.017263
counting,2,good,good,stale,normal,0.852314,1600000.0,5,0.014821
counting,2,good,medium,expired,normal,0.695023,1600000.0,5,0.01167
counting,2,good,medium,fresh,normal,0.696818,1600000.0,5,0.006854
counting,2,good,medium,stale,normal,0.705085,1600000.0,5,0.011452
counting,2,good,poor,expired,normal,0.50351,1600000.0,5,0.012544
counting,2,good,poor,fresh,normal,0.506591,1600000.0,5,0.00641
counting,2,good,poor,stale,normal,0.505106,1600000.0,5,0.010099
counting,2,medium,good,expired,normal,0.756406,1600000.0,5,0.010247
counting,2,medium,good,fresh,normal,0.763369,1600000.0,5,0.010924
counting,2,medium,good,stale,normal,0.736802,1600000.0,5,0.004519
counting,2,medium,medium,expired,normal,0.619576,1600000.0,5,0.00892
counting,2,medium,medium,fresh,normal,0.628236,1600000.0,5,0.010229
counting,2,medium,medium,stale,normal,0.619536,1600000.0,5,0.011544
