question_type,service_level,channel_bin,view_quality_bin,freshness_bin,risk_level,expected_accuracy,payload_bytes,sample_count,std_or_ci
relation,0,bad,good,expired,normal,0.272491,10000.0,1,0.0
relation,0,bad,good,fresh,normal,0.51537,10000.0,1,0.0
relation,0,bad,good,stale,normal,0.42478,10000.0,1,0.0
relation,0,bad,medium,expired,normal,0.26417,10000.0,1,0.0
relation,0,bad,medium,fresh,normal,0.495229,10000.0,1,0.0
relation,0,bad,medium,stale,normal,0.401052,10000.0,1,0.0
relation,0,bad,poor,expired,normal,0.240427,10000.0,1,0.0
relation,0,bad,poor,fresh,normal,0.482937,10000.0,1,0.0
relation,0,bad,poor,stale,normal,0.382332,10000.0,1,0.0
relation,0,good,good,expired,normal,0.276867,10000.0,1,0.0
relation,0,good,good,fresh,normal,0.515206,10000.0,1,0.0
relation,0,good,good,stale,normal,0.415073,10000.0,1,0.0
relation,0,good,medium,expired,normal,0.275007,10000.0,1,0.0
relation,0,good,medium,fresh,normal,0.510794,10000.0,1,0.0
relation,0,good,medium,stale,normal,0.390821,10000.0,1,0.0
relation,0,good,poor,expired,normal,0.244912,10000.0,1,0.0
relation,0,good,poor,fresh,normal,0.480439,10000.0,1,0.0
relation,0,good,poor,stale,normal,0.379602,10000.0,1,0.0
relation,0,medium,good,expired,normal,0.289142,10000.0,1,0.0
relation,0,medium,good,fresh,normal,0.511912,10000.0,1,0.0
relation,0,medium,good,stale,normal,0.424814,10000.0,1,0.0
relation,0,medium,medium,expired,normal,0.27725,10000.0,1,0.0
relation,0,medium,medium,fresh,normal,0.503877,10000.0,1,0.0
relation,0,medium,medium,stale,normal,0.406306,10000.0,1,0.0
relation,0,medium,poor,expired,normal,0.245132,10000.0,1,0.0
relation,0,medium,poor,fresh,normal,0.492181,10000.0,1,0.0
relation,0,medium,poor,stale,normal,0.365559,10000.0,1,0.0
relation,1,bad,good,expired,normal,0.366348,180000.0,1,0.0
relation,1,bad,good,fresh,normal,0.430232,180000.0,1,0.0
relation,1,bad,good,stale,normal,0.412621,180000.0,1,0.0
