policy,episode,slot,task_id,assigned_uav,sensing_decision,service_level,bandwidth_share,power_w,cpu_share,expected_accuracy,delay,energy,quality_ok,deadline_ok,resource_ok,airspace_conflict,success,reward,semantic_utility,min_quality_level,min_delay_level,feasible_service_levels,feasibility_class,question_type,question,risk_level,priority,tau_k,epsilon_k,gpu_share,channel_gain_db,snr_db,rate_mbps,travel_delay,sensing_delay,upload_delay,queue_delay,model_load_delay,inference_delay,travel_energy,tx_energy,sensing_energy,compute_energy,battery_cost,effective_channel_bin,channel_prior_bin,channel_impairment_db,task_completed,attempt_index,distance_3d_m,elevation_deg,los_probability,path_loss_db,interference_dbm,sinr_db,fading_db,cache_hit_probability,semantic_cache_hit,accuracy_gain,payload_mb,payload_bytes,lut_missing,semantic_efficiency,utility_per_latency,gpu_memory_required_mb,gpu_memory_ok,edge_batch_size,battery_ok,battery_remaining,uav_utilization,conflict_resolution
cache_first,0,0,ep0_cache_feasible_0,1,reuse_cache,0,0.125,1.2,0.125,0.667256,0.805738,0.01,True,True,True,False,True,3.796566,0.667256,0,0,0;1;2;3,feasible,presence,Are there car objects in this area?,normal,1.0,3.0,0.58,0.125,-97.814468,38.216432,18.972049,0.0,0.0,0.0,0.375738,0.4,0.03,0.0,0.0,0.0,0.01,0.0077,good,good,0.0,True,1,181.383571,26.171168,0.595556,97.814468,-120.0,38.073695,0.514682,0.96,True,0.0,0.01,10000.0,False,0.0,0.828131,256.0,True,1,True,99.9923,0.5,none
cache_first,0,0,ep0_light_feasible_1,1,observe,1,0.125,1.2,0.125,0.515592,2.504024,0.550678,False,True,True,False,False,-2.717608,0.0,1,0,1;2;3,feasible,counting,How many car objects are in this area?,normal,1.0,3.5,0.55,0.125,-104.629257,31.401643,7.325577,0.801715,0.35,0.196572,0.375738,0.06,0.72,0.043293,0.235886,0.2,0.0715,0.041014,medium,good,0.0,False,1,299.499583,15.492499,0.210552,104.629257,-88.479884,14.551799,1.956496,0.68,False,0.081467,0.18,180000.0,False,0.452593,0.0,1536.0,True,1,True,99.958986,0.5,none
cache_first,0,0,ep0_image_required_2,0,observe,2,0.125,2.0,0.125,0.690984,5.844187,4.166438,False,False,True,False,False,-5.666013,0.0,2,0,2,feasible,risk,Is this area crowded or blocked?,critical,2.0,3.2,0.74,0.125,-106.523875,31.725512,7.493288,0.686061,0.9,1.708195,0.375738,0.4,1.774194,0.037047,3.416391,0.55,0.163,0.113329,medium,good,0.0,False,1,259.6151,17.947685,0.283173,106.523875,-88.504436,14.899711,-1.957176,0.28,False,0.432871,1.6,1600000.0,False,0.270545,0.0,4096.0,True,4,True,99.886671,0.5,none
cache_first,0,0,ep0_infeasible_bad_channel_3,0,observe,3,0.125,2.0,0.125,0.285287,3.858036,1.24762,False,False,True,False,False,-4.679152,0.0,-1,-1,,quality_limited,risk,Is this area crowded or blocked?,critical,2.0,0.8,0.9,0.125,-98.443599,39.805789,12.633089,0.509932,0.65,0.348292,0.375738,0.4,1.574074,0.027536,0.696583,0.4,0.1235,0.054952,bad,bad,0.0,False,1,200.249844,23.546983,0.491779,98.443599,-90.93171,25.340245,1.764978,0.28,False,0.061773,0.55,550000.0,False,0.112315,0.0,3072.0,True,2,True,99.945048,0.5,none
cache_first,0,0,ep0_critical_preempt_4,1,observe,2,0.125,2.0,0.125,0.690984,6.307352,4.586776,False,False,True,False,False,-5.844854,0.0,2,0,,deadline_limited,risk,Is this area crowded or blocked?,critical,3.0,2.8,0.72,0.125,-108.085039,30.164349,6.696859,0.946077,0.9,1.911344,0.375738,0.4,1.774194,0.051088,3.822688,0.55,0.163,0.121736,medium,good,0.0,False,1,349.857114,13.218475,0.156375,108.085039,-88.402193,13.238404,0.473178,0.28,False,0.432871,1.6,1600000.0,False,0.270545,0.0,4096.0,True,4,True,99.878264,0.5,none
cache_first,0,0,ep0_normal_competing_5,0,observe,2,0.125,1.2,0.125,0.619536,5.56457,2.470163,True,False,True,False,False,-3.341667,0.619536,2,0,2;3,feasible,counting,How many car objects are in this area?,normal,1.0,3.5,0.52,0.125,-101.650499,34.380401,8.928208,0.680981,0.9,1.433658,0.375738,0.4,1.774194,0.036773,1.72039,0.55,0.163,0.079403,medium,medium,0.0,False,1,257.875939,18.072893,0.287257,101.650499,-88.803258,17.847003,2.815222,0.68,False,0.185411,1.6,1600000.0,False,0.115882,0.111336,4096.0,True,4,True,99.920597,0.5,none
cache_first,0,0,ep0_attribute_damage_6,1,observe,2,0.125,1.2,0.125,0.697578,6.199866,3.18281,True,False,True,False,False,-3.607388,0.837094,2,0,2;3,feasible,attribute,What is the visible condition of the car objects in this area?,normal,1.2,4.0,0.62,0.125,-106.627345,29.403555,6.319181,0.724356,0.9,2.025579,0.375738,0.4,1.774194,0.039115,2.430695,0.55,0.163,0.093656,medium,medium,0.0,False,1,272.763634,17.05528,0.255107,106.627345,-88.364817,12.44099,-1.336002,0.68,False,0.287331,1.6,1600000.0,False,0.179582,0.135018,4096.0,True,4,True,99.906344,0.5,none
cache_first,0,0,ep0_relation_person_vehicle_7,0,observe,3,0.125,1.2,0.125,0.525667,4.166961,1.125703,False,True,True,False,False,-3.238096,0.0,-1,0,,quality_limited,relation,Are people close to vehicles in this area?,normal,1.3,4.2,0.6,0.125,-100.911697,35.119203,9.352025,0.696663,0.65,0.470486,0.375738,0.4,1.574074,0.03762,0.564584,0.4,0.1235,0.052514,medium,medium,0.0,False,1,263.248932,17.691689,0.274934,100.911697,-88.930531,18.710209,3.861966,0.28,False,0.27836,0.55,550000.0,False,0.506109,0.0,3072.0,True,2,True,99.947486,0.5,none
cache_first,0,1,ep0_light_feasible_1,1,reuse_cache,0,0.142857,1.2,0.142857,0.569817,0.906656,0.01,True,True,True,False,True,3.771336,0.569817,0,0,0;1;2;3,feasible,counting,How many car objects are in this area?,normal,1.0,3.5,0.55,0.142857,-103.355089,32.095891,18.208057,0.0,0.0,0.0,0.476656,0.4,0.03,0.0,0.0,0.0,0.01,0.0077,good,good,0.0,True,2,289.753068,16.027409,0.22513,103.355089,-120.0,31.970742,2.78336,0.96,True,0.0,0.01,10000.0,False,0.0,0.628483,256.0,True,1,True,99.728194,0.428571,none
cache_first,0,1,ep0_image_required_2,0,observe,3,0.142857,2.0,0.142857,0.720075,3.8837,1.577141,False,False,True,False,False,-4.734996,0.0,-1,0,2,feasible,risk,Is this area crowded or blocked?,critical,2.0,3.2,0.74,0.142857,-105.244129,32.425339,8.638953,0.648126,0.65,0.509321,0.476656,0.4,1.199597,0.034999,1.018642,0.4,0.1235,0.061543,good,good,0.0,False,2,246.659142,18.925244,0.315968,105.244129,-87.349744,15.035961,-1.461699,0.96,False,0.189124,0.55,550000.0,False,0.343862,0.0,3072.0,True,4,True,99.638259,0.571429,none
