lambda,acc,E_j,frac_image
0.0,0.7033,10.427,0.3072
9.999999999999999e-06,0.7033,10.396,0.3062
1.2589254117941661e-05,0.7033,10.395,0.3061
1.584893192461114e-05,0.7033,10.389,0.306
1.9952623149688786e-05,0.7033,10.383,0.3058
2.5118864315095822e-05,0.7033,10.377,0.3056
3.1622776601683795e-05,0.7033,10.365,0.3053
3.9810717055349695e-05,0.7033,10.338,0.3044
5.011872336272725e-05,0.7033,10.317,0.3038
6.309573444801929e-05,0.7033,10.24,0.3015
7.943282347242822e-05,0.7033,10.187,0.2999
0.0001,0.7034,10.116,0.2977
0.00012589254117941674,0.7034,9.958,0.2928
0.00015848931924611142,0.7033,9.635,0.2828
0.00019952623149688788,0.7034,9.479,0.278
0.0002511886431509582,0.7031,9.133,0.2673
0.00031622776601683794,0.703,8.992,0.263
0.00039810717055349735,0.7027,8.664,0.2529
0.0005011872336272725,0.7028,8.497,0.2477
0.000630957344480193,0.7027,8.348,0.2432
0.0007943282347242822,0.7026,8.034,0.2335
0.001,0.7025,7.931,0.2304
0.0012589254117941675,0.7023,7.402,0.2144
0.001584893192461114,0.7016,7.015,0.2026
0.0019952623149688807,0.7009,6.557,0.1886
0.002511886431509582,0.6993,5.954,0.1701
0.0031622776601683794,0.6969,5.331,0.1508
0.003981071705534973,0.6958,4.922,0.1381
0.005011872336272725,0.6948,4.289,0.1188
0.006309573444801936,0.692,3.67,0.0997
0.00794328234724282,0.6901,3.237,0.0862
0.01,0.6896,3.101,0.082
0.012589254117941675,0.689,2.984,0.0784
0.01584893192461114,0.6867,2.774,0.0721
0.01995262314968881,0.6731,2.051,0.0501
0.025118864315095822,0.6403,0.705,0.0083
0.03162277660168379,0.6339,0.435,0.0
0.039810717055349734,0.6339,0.435,0.0
0.05011872336272725,0.6339,0.435,0.0
0.06309573444801936,0.6339,0.435,0.0
0.07943282347242822,0.6339,0.435,0.0
0.1,0.6339,0.435,0.0
0.12589254117941687,0.6339,0.435,0.0
0.1584893192461114,0.6339,0.435,0.0
0.19952623149688786,0.6339,0.435,0.0
0.25118864315095824,0.6339,0.435,0.0
0.31622776601683794,0.6339,0.435,0.0
1000000000.0,0.6339,0.435,0.0
