channel,snr_db,acc_mean,acc_min,acc_max,j_mean,j_min,j_max,f_img_mean,apj_mean,acc_m4,j_m4,j_m1,ratio_vs_m1_mean,ratio_vs_m1_worstseed,ratio_vs_m4_mean
awgn,-5.0,0.6879,0.6827,0.6923,8.427,6.697,11.041,0.2359,0.0816,0.6528,15.277,34.316,4.072,3.108,1.813
awgn,0.0,0.6979,0.6944,0.703,8.163,6.372,10.468,0.2378,0.0855,0.6741,14.738,32.931,4.034,3.146,1.805
awgn,5.0,0.7076,0.7051,0.7115,8.171,6.362,10.291,0.2399,0.0866,0.6848,14.606,32.691,4.001,3.177,1.787
awgn,10.0,0.7108,0.7073,0.7147,8.181,6.415,10.195,0.2408,0.0869,0.6806,14.558,32.603,3.985,3.198,1.779
awgn,15.0,0.7107,0.7073,0.7147,8.257,6.779,10.208,0.2437,0.0861,0.6763,14.495,32.532,3.94,3.187,1.756
awgn,20.0,0.7131,0.7094,0.7179,8.398,6.803,10.158,0.2485,0.0849,0.6795,14.472,32.479,3.868,3.198,1.723
rayleigh,-5.0,0.6881,0.6859,0.6912,8.66,6.382,10.454,0.2438,0.0795,0.641,15.215,34.17,3.946,3.268,1.757
rayleigh,0.0,0.6894,0.688,0.6912,8.723,6.407,10.319,0.2535,0.079,0.6624,14.845,33.127,3.798,3.21,1.702
rayleigh,5.0,0.7026,0.6998,0.7062,8.545,6.886,10.336,0.2512,0.0822,0.6731,14.625,32.726,3.83,3.166,1.711
rayleigh,10.0,0.7085,0.7062,0.7115,8.666,7.039,10.273,0.2557,0.0818,0.6763,14.573,32.631,3.765,3.177,1.682
rayleigh,15.0,0.7135,0.7115,0.7169,8.574,7.06,10.012,0.2533,0.0832,0.6816,14.509,32.565,3.798,3.253,1.692
rayleigh,20.0,0.7118,0.7094,0.7137,8.239,6.978,9.993,0.2434,0.0864,0.6795,14.481,32.5,3.945,3.252,1.758
rician,-5.0,0.6833,0.6795,0.6891,10.119,7.868,12.726,0.2854,0.0675,0.6506,15.301,34.372,3.397,2.701,1.512
rician,0.0,0.6913,0.688,0.6976,9.57,7.01,12.854,0.2806,0.0722,0.6635,14.772,32.995,3.448,2.567,1.544
rician,5.0,0.7118,0.7094,0.7137,9.519,7.329,12.949,0.2815,0.0748,0.6848,14.612,32.702,3.436,2.526,1.535
rician,10.0,0.708,0.7051,0.7105,9.435,7.276,13.052,0.2797,0.075,0.6806,14.564,32.614,3.457,2.499,1.544
rician,15.0,0.7113,0.7083,0.7147,9.104,7.124,11.927,0.27,0.0781,0.6763,14.5,32.544,3.575,2.729,1.593
rician,20.0,0.7141,0.7105,0.7179,9.146,7.044,11.941,0.2718,0.0781,0.6806,14.475,32.487,3.552,2.721,1.583
