channel,snr_db,n,acc,f_img,j_per_answer,answers_per_joule,acc_m4,j_m4,j_m1,ratio_vs_m1,ratio_vs_m4
awgn,-5.0,936,0.656,0.2511,8.941,0.0734,0.6528,15.277,34.316,3.838,1.709
awgn,0.0,936,0.6795,0.2511,8.593,0.0791,0.6741,14.738,32.931,3.832,1.715
awgn,5.0,936,0.6891,0.2532,8.602,0.0801,0.6848,14.606,32.691,3.8,1.698
awgn,10.0,936,0.6902,0.2543,8.614,0.0801,0.6806,14.558,32.603,3.785,1.69
awgn,15.0,936,0.6912,0.2543,8.596,0.0804,0.6763,14.495,32.532,3.784,1.686
awgn,20.0,936,0.6934,0.2543,8.583,0.0808,0.6795,14.472,32.479,3.784,1.686
rayleigh,-5.0,936,0.6528,0.2511,8.905,0.0733,0.641,15.215,34.17,3.837,1.709
rayleigh,0.0,936,0.6688,0.2511,8.643,0.0774,0.6624,14.845,33.127,3.833,1.718
rayleigh,5.0,936,0.6827,0.2532,8.611,0.0793,0.6731,14.625,32.726,3.8,1.698
rayleigh,10.0,936,0.688,0.2532,8.587,0.0801,0.6763,14.573,32.631,3.8,1.697
rayleigh,15.0,936,0.6955,0.2543,8.605,0.0808,0.6816,14.509,32.565,3.785,1.686
rayleigh,20.0,936,0.6944,0.2543,8.588,0.0809,0.6795,14.481,32.5,3.784,1.686
rician,-5.0,936,0.6571,0.2511,8.955,0.0734,0.6506,15.301,34.372,3.838,1.709
rician,0.0,936,0.6731,0.2511,8.61,0.0782,0.6635,14.772,32.995,3.832,1.716
rician,5.0,936,0.6912,0.2532,8.605,0.0803,0.6848,14.612,32.702,3.8,1.698
rician,10.0,936,0.6838,0.2671,9.03,0.0757,0.6806,14.564,32.614,3.612,1.613
rician,15.0,936,0.6848,0.2671,9.011,0.076,0.6763,14.5,32.544,3.612,1.609
rician,20.0,936,0.6891,0.2671,8.996,0.0766,0.6806,14.475,32.487,3.611,1.609
