channel,snr_db,acc_mean,acc_min,acc_max,j_mean,j_min,j_max,f_img_mean,apj_mean,acc_m4,j_m4,j_m1,ratio_vs_m1_mean,ratio_vs_m1_worstseed,ratio_vs_m4_mean
awgn,-5.0,0.6891,0.687,0.6912,8.688,6.878,10.534,0.2436,0.0793,0.6528,15.277,34.316,3.95,3.258,1.758
awgn,0.0,0.6976,0.6944,0.7009,8.489,6.372,10.26,0.2479,0.0822,0.6741,14.738,32.931,3.879,3.21,1.736
awgn,5.0,0.7069,0.7062,0.7083,8.441,6.534,10.153,0.2482,0.0837,0.6848,14.606,32.691,3.873,3.22,1.73
awgn,10.0,0.7108,0.7073,0.7137,8.523,6.724,10.195,0.2514,0.0834,0.6806,14.558,32.603,3.825,3.198,1.708
awgn,15.0,0.7101,0.7073,0.7126,8.551,6.779,10.208,0.2528,0.083,0.6763,14.495,32.532,3.805,3.187,1.695
awgn,20.0,0.7123,0.7094,0.7147,8.309,6.803,9.507,0.2457,0.0857,0.6795,14.472,32.479,3.909,3.416,1.742
rayleigh,-5.0,0.6895,0.688,0.6912,8.4,6.454,10.418,0.2361,0.0821,0.641,15.215,34.17,4.068,3.28,1.811
rayleigh,0.0,0.6905,0.6891,0.6912,8.142,6.407,10.215,0.2358,0.0848,0.6624,14.845,33.127,4.069,3.243,1.823
rayleigh,5.0,0.7044,0.703,0.7062,8.37,6.99,10.336,0.2457,0.0842,0.6731,14.625,32.726,3.91,3.166,1.747
rayleigh,10.0,0.7108,0.7105,0.7115,8.381,7.039,10.273,0.2468,0.0848,0.6763,14.573,32.631,3.894,3.177,1.739
rayleigh,15.0,0.7151,0.7137,0.7169,8.078,7.06,9.291,0.2379,0.0885,0.6816,14.509,32.565,4.031,3.505,1.796
rayleigh,20.0,0.7123,0.7105,0.7137,7.503,6.978,8.52,0.2204,0.0949,0.6795,14.481,32.5,4.331,3.815,1.93
rician,-5.0,0.6816,0.6795,0.6838,11.155,9.39,12.726,0.3159,0.0611,0.6506,15.301,34.372,3.081,2.701,1.372
rician,0.0,0.6902,0.6891,0.6923,10.94,9.792,12.854,0.3226,0.0631,0.6635,14.772,32.995,3.016,2.567,1.35
rician,5.0,0.7119,0.7105,0.7137,10.88,9.605,12.949,0.3237,0.0654,0.6848,14.612,32.702,3.006,2.526,1.343
rician,10.0,0.708,0.7062,0.7094,10.542,8.445,13.052,0.3141,0.0672,0.6806,14.564,32.614,3.094,2.499,1.381
rician,15.0,0.7126,0.7105,0.7147,9.514,7.124,11.927,0.2828,0.0749,0.6763,14.5,32.544,3.421,2.729,1.524
rician,20.0,0.7158,0.7137,0.7179,9.532,7.215,11.941,0.2838,0.0751,0.6806,14.475,32.487,3.408,2.721,1.519
